Frame count, Pixels in mask, Frame time (delta time), Fillrate (px/ms)
10, 0, 8.5557, 0
20, 0, 7.9715, 0
30, 0, 8.8975, 0
40, 0, 8.619, 0
50, 0, 8.3446, 0
60, 0, 8.2345, 0
70, 0, 7.9573, 0
80, 0, 8.2333, 0
90, 0, 8.6492, 0
100, 0, 7.9635, 0
110, 0, 8.2326, 0
120, 0, 8.2341, 0
130, 0, 10.4863, 0
140, 0, 9.415, 0
150, 0, 9.2896, 0
160, 0, 9.2358, 0
170, 0, 10.6814, 0
180, 0, 11.8538, 0
190, 0, 10.8786, 0
200, 0, 9.571, 0
210, 0, 7.9224, 0
220, 0, 8.234, 0
230, 0, 8.2346, 0
240, 0, 8.2329, 0
250, 0, 8.233, 0
260, 0, 8.2242, 0
270, 0, 8.2338, 0
280, 0, 8.2322, 0
290, 0, 8.2333, 0
300, 0, 8.5251, 0
310, 0, 8.233, 0
320, 0, 8.0177, 0
330, 0, 8.0038, 0
340, 0, 8.007501, 0
350, 0, 7.8184, 0
360, 0, 8.2342, 0
370, 0, 8.497, 0
380, 0, 8.2337, 0
390, 0, 12.6427, 0
400, 0, 7.9925, 0
410, 0, 8.234401, 0
420, 0, 8.2334, 0
430, 0, 8.2349, 0
440, 0, 8.233601, 0
450, 0, 8.314, 0
460, 0, 7.7731, 0
470, 0, 8.2331, 0
480, 0, 8.2343, 0
490, 0, 8.1014, 0
500, 0, 8.5493, 0
510, 0, 8.1562, 0
520, 0, 8.2333, 0
530, 0, 8.2341, 0
540, 0, 8.232699, 0
550, 0, 9.0504, 0
560, 0, 8.2335, 0
570, 0, 8.8431, 0
580, 0, 8.2333, 0
590, 0, 7.8254, 0
600, 0, 8.233601, 0
610, 0, 8.2338, 0
620, 0, 8.991, 0
630, 0, 8.3273, 0
640, 0, 11.3662, 0
650, 0, 7.998, 0
660, 0, 8.2334, 0
670, 0, 7.3651, 0
680, 0, 7.7361, 0
690, 14667, 22.8956, 640.6034
700, 15655, 13.2239, 1183.841
710, 17102, 20.1517, 848.6628
720, 18415, 19.2779, 955.2389
730, 18766, 19.5463, 960.0793
740, 18928, 24.0148, 788.1806
750, 18762, 23.2579, 806.6936
760, 18123, 14.8179, 1223.048
770, 17210, 18.9307, 909.1053
780, 16048, 23.0939, 694.9022
790, 14886, 18.1956, 818.1099
800, 13919, 13.3966, 1038.995
810, 13413, 13.6711, 981.1207
820, 13724, 13.45, 1020.372
830, 15914, 13.4573, 1182.555
840, 20067, 19.9769, 1004.51
850, 18357, 17.6167, 1042.023
860, 20179, 23.3605, 863.8085
870, 20431, 13.5872, 1503.695
880, 21026, 13.5894, 1547.235
890, 21571, 15.3922, 1401.424
900, 19877, 14.3335, 1386.751
910, 20290, 19.6498, 1032.581
920, 19852, 13.8311, 1435.316
930, 20533, 23.6617, 867.7737
940, 20740, 24.6017, 843.0312
950, 21386, 20.7658, 1029.866
960, 20518, 14.4332, 1421.584
970, 21251, 19.3022, 1100.963
980, 20979, 14.6291, 1434.059
990, 20598, 14.3094, 1439.473
1000, 20397, 11.7883, 1730.275
1010, 20909, 14.3562, 1456.444
1020, 20314, 20.997, 967.4715
1030, 21876, 20.1543, 1085.426
1040, 20705, 14.188, 1459.332
1050, 18056, 19.7536, 914.0613
1060, 18755, 18.8436, 995.2981
1070, 21017, 19.7429, 1064.535
1080, 16242, 28.1807, 576.3519
1090, 13901, 18.4082, 755.1526
1100, 13461, 18.5425, 725.9539
1110, 13950, 23.3368, 597.7684
1120, 14485, 18.3743, 788.3293
1130, 14891, 12.0594, 1234.804
1140, 15734, 18.3923, 855.4667
1150, 17179, 12.6474, 1358.303
1160, 19067, 20.1808, 944.8088
1170, 20757, 24.2885, 854.602
1180, 21589, 14.4248, 1496.659
1190, 22271, 18.3926, 1210.867
1200, 23790, 14.6177, 1627.479
1210, 25094, 21.0893, 1189.892
1220, 25545, 14.5477, 1755.948
1230, 25337, 14.3481, 1765.878
1240, 24925, 22.9962, 1083.875
1250, 24317, 19.6555, 1237.16
1260, 22110, 19.401, 1139.632
1270, 20412, 18.0593, 1130.276
1280, 19262, 23.0607, 835.2739
1290, 19097, 13.7716, 1386.694
1300, 19301, 13.2567, 1455.943
1310, 19704, 12.8111, 1538.041
1320, 20618, 19.0811, 1080.546
1330, 20863, 20.2331, 1031.132
1340, 21114, 25.9221, 814.5173
1350, 21276, 17.1547, 1240.243
1360, 21758, 19.5851, 1110.947
1370, 23500, 11.329, 2074.323
1380, 25832, 19.751, 1307.883
1390, 29454, 15.2539, 1930.916
1400, 32045, 25.3533, 1263.938
1410, 31915, 21.1677, 1507.722
1420, 33393, 26.2062, 1274.24
1430, 33463, 20.7645, 1611.549
1440, 33516, 21.6591, 1547.433
1450, 33241, 17.6454, 1883.834
1460, 33131, 17.5998, 1882.465
1470, 33158, 21.2682, 1559.041
1480, 33390, 20.2417, 1649.565
1490, 33069, 17.6712, 1871.35
1500, 33395, 25.2162, 1324.347
1510, 33428, 17.179, 1945.864
1520, 33684, 20.6833, 1628.56
1530, 31984, 24.6362, 1298.252
1540, 32111, 28.5695, 1123.961
1550, 31724, 16.1379, 1965.807
1560, 31708, 17.096, 1854.703
1570, 31940, 20.6557, 1546.304
1580, 32598, 25.7203, 1267.404
1590, 33288, 27.3383, 1217.632
1600, 32469, 20.9024, 1553.362
1610, 32202, 21.3129, 1510.916
1620, 31612, 21.2146, 1490.106
1630, 31018, 17.1995, 1803.425
1640, 31802, 20.8449, 1525.649
1650, 28769, 24.3162, 1183.121
1660, 29237, 20.5586, 1422.13
1670, 26660, 20.8823, 1276.679
1680, 26048, 20.6312, 1262.554
1690, 25748, 30.1159, 854.9637
1700, 25779, 15.8863, 1622.719
1710, 23109, 15.5545, 1485.679
1720, 22712, 19.3985, 1170.812
1730, 18882, 13.5421, 1394.318
1740, 15981, 12.8087, 1247.668
1750, 15269, 12.0354, 1268.674
1760, 15852, 15.7872, 1004.105
1770, 16302, 17.3107, 941.7297
1780, 16044, 18.9608, 846.1668
1790, 15535, 18.2639, 850.585
1800, 15180, 10.875, 1395.862
1810, 15292, 12.3495, 1238.269
1820, 15113, 13.1874, 1146.018
1830, 15006, 12.7613, 1175.899
1840, 14976, 12.5008, 1198.003
1850, 14738, 22.2936, 661.0866
1860, 14345, 19.7144, 727.6407
1870, 13788, 18.9263, 728.5101
1880, 13072, 11.9943, 1089.851
1890, 12229, 12.6737, 964.9116
1900, 11748, 22.9836, 511.1471
1910, 11418, 11.5297, 990.312
1920, 11149, 11.8458, 941.1774
1930, 10706, 8.6532, 1237.23
1940, 10125, 11.8415, 855.0437
1950, 9824, 18.1674, 540.7488
1960, 9516, 14.0852, 675.6028
1970, 9207, 11.9731, 768.9738
1980, 9045, 10.3854, 870.9342
1990, 8835, 17.1946, 513.8241
2000, 8829, 17.0338, 518.3224
2010, 8866, 10.1288, 875.3259
2020, 8926, 10.0642, 886.9061
2030, 8868, 17.5811, 504.4053
2040, 8938, 22.4031, 398.9626
2050, 8864, 10.8664, 815.7256
2060, 8887, 10.3818, 856.0173
2070, 8881, 10.8739, 816.7263
2080, 8945, 11.3935, 785.0968
2090, 8842, 10.6613, 829.3547
2100, 8827, 11.0332, 800.0399
2110, 9009, 30.335, 296.9837
2120, 9026, 17.5147, 515.3386
2130, 9066, 18.2636, 496.3972
2140, 9024, 11.1239, 811.2263
2150, 10069, 18.5851, 541.7781
2160, 14396, 11.7742, 1222.673
2170, 13219, 12.2878, 1075.782
2180, 13223, 12.1279, 1090.296
2190, 15306, 18.0636, 847.3395
2200, 15097, 13.1524, 1147.851
2210, 15370, 18.0191, 852.9838
2220, 11548, 11.8987, 970.5262
2230, 15340, 12.7674, 1201.498
2240, 15140, 15.3921, 983.6215
2250, 13567, 12.7416, 1064.78
2260, 13429, 22.9149, 586.0379
2270, 16036, 25.709, 623.7504
2280, 15871, 12.9429, 1226.232
2290, 15590, 16.5185, 943.7903
2300, 15634, 23.2838, 671.454
2310, 16088, 19.893, 808.7267
2320, 13366, 20.0565, 666.4174
2330, 14137, 19.3069, 732.2253
2340, 14600, 17.7332, 823.3145
