Frame count, Pixels in mask, Processing time of image inpainting (ms), Fillrate (px/ms), Frame time (delta time) (ms)
10, 0, 4.0957, 0, 8.8181
20, 0, 4.265, 0, 8.372601
30, 0, 3.6127, 0, 8.2359
40, 0, 4.3467, 0, 8.3851
50, 0, 3.8515, 0, 8.233601
60, 0, 3.8097, 0, 8.2334
70, 0, 3.7921, 0, 8.2343
80, 0, 4.3178, 0, 8.800099
90, 0, 4.6108, 0, 9.093101
100, 0, 4.6246, 0, 8.233601
110, 0, 3.7484, 0, 18.344
120, 0, 5.1556, 0, 8.8586
130, 0, 4.0074, 0, 9.8
140, 0, 3.9247, 0, 14.6381
150, 0, 3.9691, 0, 10.0947
160, 0, 4.3126, 0, 8.234
170, 0, 4.384, 0, 8.2937
180, 0, 5.3587, 0, 10.1921
190, 0, 4.0934, 0, 8.448501
200, 0, 3.9268, 0, 13.3901
210, 0, 3.9481, 0, 8.233601
220, 0, 3.7223, 0, 9.3245
230, 0, 3.9691, 0, 8.274899
240, 0, 4.7107, 0, 9.2942
250, 0, 3.7967, 0, 9.126
260, 0, 3.7352, 0, 8.2331
270, 0, 4.5962, 0, 8.8849
280, 0, 3.6958, 0, 8.2389
290, 0, 4.7344, 0, 8.233601
300, 0, 3.8463, 0, 8.2329
310, 0, 3.6758, 0, 8.8044
320, 0, 3.7766, 0, 9.2243
330, 0, 4.1661, 0, 8.2334
340, 0, 3.6312, 0, 8.6236
350, 0, 4.0365, 0, 8.2343
360, 0, 3.9184, 0, 8.2342
370, 0, 4.6492, 0, 8.2328
380, 0, 4.1093, 0, 8.2333
390, 0, 4.1544, 0, 8.3265
400, 0, 4.0435, 0, 8.2369
410, 0, 4.701, 0, 8.2283
420, 0, 5.1168, 0, 8.664101
430, 0, 3.6044, 0, 8.2724
440, 0, 3.7565, 0, 9.0999
450, 0, 4.2253, 0, 8.3946
460, 0, 4.4018, 0, 9.195701
470, 0, 5.7026, 0, 10.6437
480, 0, 4.5212, 0, 10.771
490, 0, 5.1685, 0, 9.8905
500, 0, 4.4068, 0, 8.9681
510, 0, 4.3702, 0, 9.5304
520, 0, 4.5296, 0, 11.1733
530, 0, 4.6421, 0, 10.0684
540, 0, 4.7636, 0, 9.909801
550, 0, 5.1752, 0, 9.9586
560, 0, 4.3442, 0, 10.3319
570, 0, 4.6427, 0, 10.1197
580, 0, 5.8725, 0, 17.7212
590, 0, 4.5305, 0, 9.6066
600, 0, 5.9843, 0, 10.9447
610, 0, 6.2155, 0, 12.2891
620, 0, 4.8312, 0, 10.1286
