Frame count, Pixels in mask, Frame time (delta time), Fillrate (px/ms)
10, 0, 26.8149, 0
20, 0, 39.3499, 0
30, 0, 26.9763, 0
40, 0, 26.3861, 0
50, 0, 51.123, 0
60, 13096, 94.0098, 139.3046
70, 18328, 150.9434, 121.423
80, 15809, 128.2666, 123.2511
90, 11422, 92.2126, 123.8659
100, 17582, 131.0591, 134.1532
110, 17758, 110.3488, 160.9261
120, 17085, 140.6792, 121.4465
130, 15052, 132.5766, 113.5344
140, 17194, 138.6256, 124.0319
150, 17718, 119.6687, 148.0588
160, 12293, 94.6278, 129.909
170, 11390, 107.8114, 105.6475
180, 19762, 127.2126, 155.3463
190, 24818, 155.0519, 160.0625
200, 23111, 120.0982, 192.4342
210, 19165, 152.9639, 125.291
220, 14463, 118.9137, 121.626
230, 14838, 117.0605, 126.755
240, 26270, 151.9756, 172.8567
250, 25577, 183.7377, 139.2039
260, 28714, 213.151, 134.712
270, 24746, 144.8682, 170.8173
280, 18676, 150.4991, 124.0938
290, 17107, 146.5996, 116.692
300, 15848, 130.4179, 121.5171
310, 15771, 143.4736, 109.9227
320, 16145, 136.3818, 118.3809
330, 23585, 132.5862, 177.8843
340, 24703, 197.4382, 125.1176
350, 26725, 166.7463, 160.2734
360, 27890, 199.3287, 139.9196
370, 26770, 193.2483, 138.5264
380, 27463, 150.9504, 181.9339
390, 28108, 200.7536, 140.0124
400, 21631, 175.5517, 123.2173
410, 24678, 128.7077, 191.7368
420, 28382, 134.3803, 211.2066
430, 27375, 181.2049, 151.0721
440, 26339, 208.6986, 126.2059
450, 23403, 116.5611, 200.7788
460, 20917, 144.7981, 144.4563
470, 18410, 107.8279, 170.735
480, 16889, 105.3982, 160.2399
490, 16356, 128.6138, 127.1714
500, 22409, 144.749, 154.8128
510, 24666, 151.7216, 162.5741
520, 25591, 141.5403, 180.8036
530, 25874, 225.6804, 114.6489
540, 23774, 162.3674, 146.421
550, 21593, 134.3325, 160.743
560, 18363, 134.8439, 136.1797
570, 14390, 89.89951, 160.0676
580, 10117, 111.4998, 90.73559
590, 6991, 75.5947, 92.48003
600, 7148, 71.0872, 100.5526
610, 4164, 56.0238, 74.32555
620, 4155, 55.385, 75.02031
630, 4163, 62.8426, 66.24487
640, 4160, 52.0196, 79.96986
650, 4163, 62.6157, 66.48492
660, 4164, 51.8992, 80.23245
670, 4155, 54.7183, 75.93438
680, 4164, 57.8813, 71.94034
690, 4162, 57.3065, 72.62701
700, 4164, 53.4314, 77.9317
710, 4163, 95.5257, 43.5799
720, 4159, 59.604, 69.7772
730, 4151, 41.2256, 100.6899
740, 4164, 58.9269, 70.66383
750, 4162, 59.9591, 69.41399
760, 4164, 55.5626, 74.9425
